what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1424753621571
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1424753621571
java.specification.name,sysinfo,,,"Java Platform API Specification",1424753621571
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1424753621571
java.specification.version,sysinfo,,,"1.6",1424753621571
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1424753621571
java.version,sysinfo,,,"1.6.0_22",1424753621571
java.vm.info,sysinfo,,,"mixed mode",1424753621571
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1424753621571
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1424753621571
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1424753621571
java.vm.specification.version,sysinfo,,,"1.0",1424753621571
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1424753621571
java.vm.version,sysinfo,,,"17.1-b03",1424753621571
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1424753621614
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1424753621658
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1424753622068
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1424753622700
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1424753622704
started,bundle,org.eclipse.wst.dtd.core,1.1.401.v201101122255,"org.eclipse.wst.dtd.core",1424753622834
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1424753622844
started,bundle,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.ui",1424753622853
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1424753622862
started,bundle,org.eclipse.jst.jsf.common,1.2.2.v201101211220,"org.eclipse.jst.jsf.common",1424753622871
started,bundle,org.eclipse.jst.jsf.core,1.3.3.v201102021253,"org.eclipse.jst.jsf.core",1424753622873
started,bundle,org.eclipse.jst.jsp.core,1.2.304.v201102160550,"org.eclipse.jst.jsp.core",1424753623073
started,bundle,org.eclipse.wst.wsdl.validation,1.1.501.v201004201506,"org.eclipse.wst.wsdl.validation",1424753623101
started,bundle,org.eclipse.wst.xsd.core,1.1.503.v201011121919,"org.eclipse.wst.xsd.core",1424753623104
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1424753623111
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1424753624402
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1424753624470
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1424753624512
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424753624605
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424753626520
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424753626533
started,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1424753626581
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1424753626584
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424753629082
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1424753629112
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1424753629205
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1424753629834
started,bundle,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser",1424753631562
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1424753631759
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1424753631774
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1424753634963
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.stop",1424753635092
